Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Fri Feb 20 2015,8:30 pm,Houston Rockets,100,Dallas Mavericks,111,Box Score,,
Fri Feb 20 2015,7:30 pm,Chicago Bulls,91,Detroit Pistons,100,Box Score,,
Fri Feb 20 2015,10:30 pm,San Antonio Spurs,99,Golden State Warriors,110,Box Score,,
Fri Feb 20 2015,10:30 pm,Brooklyn Nets,114,Los Angeles Lakers,105,Box Score,,
Fri Feb 20 2015,8:30 pm,Denver Nuggets,81,Milwaukee Bucks,89,Box Score,,
Fri Feb 20 2015,8:00 pm,Phoenix Suns,109,Minnesota Timberwolves,111,Box Score,,
Fri Feb 20 2015,7:30 pm,Miami Heat,111,New York Knicks,87,Box Score,,
Fri Feb 20 2015,7:00 pm,New Orleans Pelicans,84,Orlando Magic,95,Box Score,,
Fri Feb 20 2015,7:00 pm,Indiana Pacers,106,Philadelphia 76ers,95,Box Score,,
Fri Feb 20 2015,10:00 pm,Boston Celtics,101,Sacramento Kings,109,Box Score,,
Fri Feb 20 2015,9:00 pm,Portland Trail Blazers,76,Utah Jazz,92,Box Score,,
Fri Feb 20 2015,8:00 pm,Cleveland Cavaliers,127,Washington Wizards,89,Box Score,,
Sat Feb 21 2015,8:00 pm,Phoenix Suns,107,Chicago Bulls,112,Box Score,,
Sat Feb 21 2015,7:00 pm,Oklahoma City Thunder,110,Charlotte Hornets,103,Box Score,,
Sat Feb 21 2015,8:00 pm,Toronto Raptors,76,Houston Rockets,98,Box Score,,
Sat Feb 21 2015,10:00 pm,Sacramento Kings,99,Los Angeles Clippers,126,Box Score,,
Sat Feb 21 2015,7:30 pm,New Orleans Pelicans,105,Miami Heat,91,Box Score,,
Sun Feb 22 2015,7:30 pm,Charlotte Hornets,81,Dallas Mavericks,92,Box Score,,
Sun Feb 22 2015,3:30 pm,Washington Wizards,89,Detroit Pistons,106,Box Score,,
Sun Feb 22 2015,6:00 pm,Golden State Warriors,98,Indiana Pacers,104,Box Score,,
Sun Feb 22 2015,9:30 pm,Boston Celtics,111,Los Angeles Lakers,118,Box Score,OT,
Sun Feb 22 2015,3:30 pm,Atlanta Hawks,97,Milwaukee Bucks,86,Box Score,,
Sun Feb 22 2015,1:00 pm,Cleveland Cavaliers,101,New York Knicks,83,Box Score,,
Sun Feb 22 2015,7:00 pm,Denver Nuggets,94,Oklahoma City Thunder,119,Box Score,,
Sun Feb 22 2015,6:00 pm,Philadelphia 76ers,98,Orlando Magic,103,Box Score,,
Sun Feb 22 2015,9:00 pm,Memphis Grizzlies,98,Portland Trail Blazers,92,Box Score,,
Mon Feb 23 2015,8:00 pm,Milwaukee Bucks,71,Chicago Bulls,87,Box Score,,
Mon Feb 23 2015,9:00 pm,Brooklyn Nets,110,Denver Nuggets,82,Box Score,,
Mon Feb 23 2015,8:00 pm,Minnesota Timberwolves,102,Houston Rockets,113,Box Score,,
Mon Feb 23 2015,10:30 pm,Memphis Grizzlies,90,Los Angeles Clippers,87,Box Score,,
Mon Feb 23 2015,7:30 pm,Philadelphia 76ers,108,Miami Heat,119,Box Score,,
Mon Feb 23 2015,8:00 pm,Toronto Raptors,97,New Orleans Pelicans,100,Box Score,,
Mon Feb 23 2015,9:00 pm,Boston Celtics,115,Phoenix Suns,110,Box Score,,
Mon Feb 23 2015,9:00 pm,San Antonio Spurs,81,Utah Jazz,90,Box Score,,
Tue Feb 24 2015,8:30 pm,Toronto Raptors,92,Dallas Mavericks,99,Box Score,,
Tue Feb 24 2015,7:30 pm,Cleveland Cavaliers,102,Detroit Pistons,93,Box Score,,
Tue Feb 24 2015,8:00 pm,Indiana Pacers,92,Oklahoma City Thunder,105,Box Score,,
Tue Feb 24 2015,7:00 pm,Golden State Warriors,114,Washington Wizards,107,Box Score,,
Wed Feb 25 2015,7:30 pm,Dallas Mavericks,87,Atlanta Hawks,104,Box Score,,
Wed Feb 25 2015,7:30 pm,New York Knicks,94,Boston Celtics,115,Box Score,,
Wed Feb 25 2015,8:00 pm,Charlotte Hornets,98,Chicago Bulls,86,Box Score,,
Wed Feb 25 2015,9:00 pm,Phoenix Suns,110,Denver Nuggets,96,Box Score,,
Wed Feb 25 2015,8:00 pm,Los Angeles Clippers,105,Houston Rockets,110,Box Score,,
Wed Feb 25 2015,8:00 pm,Philadelphia 76ers,88,Milwaukee Bucks,104,Box Score,,
Wed Feb 25 2015,8:00 pm,Washington Wizards,77,Minnesota Timberwolves,97,Box Score,,
Wed Feb 25 2015,8:00 pm,Brooklyn Nets,96,New Orleans Pelicans,102,Box Score,,
Wed Feb 25 2015,7:00 pm,Miami Heat,93,Orlando Magic,90,Box Score,OT,
Wed Feb 25 2015,10:30 pm,San Antonio Spurs,95,Portland Trail Blazers,111,Box Score,,
Wed Feb 25 2015,10:00 pm,Memphis Grizzlies,90,Sacramento Kings,102,Box Score,,
Wed Feb 25 2015,9:00 pm,Los Angeles Lakers,100,Utah Jazz,97,Box Score,,
Thu Feb 26 2015,8:00 pm,Golden State Warriors,99,Cleveland Cavaliers,110,Box Score,,
Thu Feb 26 2015,10:30 pm,Oklahoma City Thunder,113,Phoenix Suns,117,Box Score,OT,
Fri Feb 27 2015,7:30 pm,Orlando Magic,88,Atlanta Hawks,95,Box Score,,
Fri Feb 27 2015,7:30 pm,Charlotte Hornets,98,Boston Celtics,106,Box Score,,
Fri Feb 27 2015,8:00 pm,Minnesota Timberwolves,89,Chicago Bulls,96,Box Score,,
Fri Feb 27 2015,9:00 pm,Utah Jazz,104,Denver Nuggets,82,Box Score,,
Fri Feb 27 2015,7:30 pm,New York Knicks,121,Detroit Pistons,115,Box Score,2OT,
Fri Feb 27 2015,8:00 pm,Brooklyn Nets,98,Houston Rockets,102,Box Score,,
Fri Feb 27 2015,7:00 pm,Cleveland Cavaliers,86,Indiana Pacers,93,Box Score,,
Fri Feb 27 2015,10:30 pm,Milwaukee Bucks,93,Los Angeles Lakers,101,Box Score,,
Fri Feb 27 2015,8:00 pm,Los Angeles Clippers,97,Memphis Grizzlies,79,Box Score,,
Fri Feb 27 2015,8:00 pm,Miami Heat,102,New Orleans Pelicans,104,Box Score,,
Fri Feb 27 2015,7:00 pm,Washington Wizards,81,Philadelphia 76ers,89,Box Score,,
Fri Feb 27 2015,10:30 pm,Oklahoma City Thunder,112,Portland Trail Blazers,115,Box Score,,
Fri Feb 27 2015,10:00 pm,San Antonio Spurs,107,Sacramento Kings,96,Box Score,,
Fri Feb 27 2015,7:30 pm,Golden State Warriors,113,Toronto Raptors,89,Box Score,,
Sat Feb 28 2015,8:30 pm,Brooklyn Nets,104,Dallas Mavericks,94,Box Score,,
Sat Feb 28 2015,7:30 pm,Atlanta Hawks,93,Miami Heat,91,Box Score,,
Sat Feb 28 2015,8:00 pm,Memphis Grizzlies,101,Minnesota Timberwolves,97,Box Score,,
Sat Feb 28 2015,7:30 pm,Toronto Raptors,98,New York Knicks,103,Box Score,,
Sat Feb 28 2015,9:00 pm,San Antonio Spurs,101,Phoenix Suns,74,Box Score,,
Sat Feb 28 2015,9:00 pm,Milwaukee Bucks,75,Utah Jazz,82,Box Score,,
Sat Feb 28 2015,7:00 pm,Detroit Pistons,95,Washington Wizards,99,Box Score,,
