Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sat Nov 8 2014,7:00 pm,Washington Wizards,97,Indiana Pacers,90,Box Score,,
Sat Nov 8 2014,3:30 pm,Portland Trail Blazers,102,Los Angeles Clippers,106,Box Score,,
Sat Nov 8 2014,7:30 pm,Minnesota Timberwolves,92,Miami Heat,102,Box Score,,
Sat Nov 8 2014,8:30 pm,Memphis Grizzlies,92,Milwaukee Bucks,93,Box Score,,
Sat Nov 8 2014,8:30 pm,New Orleans Pelicans,100,San Antonio Spurs,99,Box Score,,
Sun Nov 9 2014,3:30 pm,Orlando Magic,96,Brooklyn Nets,104,Box Score,,
Sun Nov 9 2014,7:30 pm,Miami Heat,105,Dallas Mavericks,96,Box Score,,
Sun Nov 9 2014,6:00 pm,Utah Jazz,97,Detroit Pistons,96,Box Score,,
Sun Nov 9 2014,9:30 pm,Charlotte Hornets,92,Los Angeles Lakers,107,Box Score,,
Sun Nov 9 2014,7:00 pm,Sacramento Kings,93,Oklahoma City Thunder,101,Box Score,,
Sun Nov 9 2014,8:00 pm,Golden State Warriors,95,Phoenix Suns,107,Box Score,,
Sun Nov 9 2014,9:00 pm,Denver Nuggets,100,Portland Trail Blazers,116,Box Score,,
Sun Nov 9 2014,7:00 pm,Philadelphia 76ers,88,Toronto Raptors,120,Box Score,,
Mon Nov 10 2014,8:00 pm,Detroit Pistons,91,Chicago Bulls,102,Box Score,,
Mon Nov 10 2014,7:00 pm,New Orleans Pelicans,111,Cleveland Cavaliers,118,Box Score,,
Mon Nov 10 2014,7:00 pm,Utah Jazz,86,Indiana Pacers,97,Box Score,,
Mon Nov 10 2014,10:30 pm,San Antonio Spurs,89,Los Angeles Clippers,85,Box Score,,
Mon Nov 10 2014,7:30 pm,Atlanta Hawks,91,New York Knicks,85,Box Score,,
Tue Nov 11 2014,8:30 pm,Sacramento Kings,98,Dallas Mavericks,106,Box Score,,
Tue Nov 11 2014,10:30 pm,San Antonio Spurs,113,Golden State Warriors,100,Box Score,,
Tue Nov 11 2014,8:00 pm,Los Angeles Lakers,102,Memphis Grizzlies,107,Box Score,,
Tue Nov 11 2014,8:00 pm,Oklahoma City Thunder,78,Milwaukee Bucks,85,Box Score,,
Tue Nov 11 2014,10:00 pm,Charlotte Hornets,100,Portland Trail Blazers,102,Box Score,,
Tue Nov 11 2014,7:30 pm,Orlando Magic,100,Toronto Raptors,104,Box Score,,
Wed Nov 12 2014,7:30 pm,Utah Jazz,97,Atlanta Hawks,100,Box Score,,
Wed Nov 12 2014,7:30 pm,Oklahoma City Thunder,109,Boston Celtics,94,Box Score,,
Wed Nov 12 2014,9:00 pm,Portland Trail Blazers,130,Denver Nuggets,113,Box Score,,
Wed Nov 12 2014,7:30 pm,Indiana Pacers,81,Miami Heat,75,Box Score,,
Wed Nov 12 2014,10:00 pm,Houston Rockets,113,Minnesota Timberwolves,101,Box Score,,at Mexico City Mexico
Wed Nov 12 2014,8:00 pm,Los Angeles Lakers,102,New Orleans Pelicans,109,Box Score,,
Wed Nov 12 2014,7:30 pm,Orlando Magic,97,New York Knicks,95,Box Score,,
Wed Nov 12 2014,9:00 pm,Brooklyn Nets,104,Phoenix Suns,112,Box Score,,
Wed Nov 12 2014,7:00 pm,Detroit Pistons,103,Washington Wizards,107,Box Score,,
Thu Nov 13 2014,8:30 pm,Philadelphia 76ers,70,Dallas Mavericks,123,Box Score,,
Thu Nov 13 2014,10:30 pm,Brooklyn Nets,99,Golden State Warriors,107,Box Score,,
Thu Nov 13 2014,8:00 pm,Sacramento Kings,110,Memphis Grizzlies,111,Box Score,,
Thu Nov 13 2014,8:00 pm,Chicago Bulls,100,Toronto Raptors,93,Box Score,,
Fri Nov 14 2014,7:30 pm,Miami Heat,103,Atlanta Hawks,114,Box Score,,
Fri Nov 14 2014,7:30 pm,Cleveland Cavaliers,122,Boston Celtics,121,Box Score,,
Fri Nov 14 2014,8:00 pm,Philadelphia 76ers,87,Houston Rockets,88,Box Score,,
Fri Nov 14 2014,7:00 pm,Denver Nuggets,108,Indiana Pacers,87,Box Score,,
Fri Nov 14 2014,10:00 pm,San Antonio Spurs,93,Los Angeles Lakers,80,Box Score,,
Fri Nov 14 2014,8:00 pm,Minnesota Timberwolves,91,New Orleans Pelicans,139,Box Score,,
Fri Nov 14 2014,7:30 pm,Utah Jazz,102,New York Knicks,100,Box Score,,
Fri Nov 14 2014,8:00 pm,Detroit Pistons,96,Oklahoma City Thunder,89,Box Score,OT,
Fri Nov 14 2014,7:00 pm,Milwaukee Bucks,85,Orlando Magic,101,Box Score,,
Fri Nov 14 2014,9:00 pm,Charlotte Hornets,103,Phoenix Suns,95,Box Score,,
Sat Nov 15 2014,8:00 pm,Indiana Pacers,99,Chicago Bulls,90,Box Score,,
Sat Nov 15 2014,7:30 pm,Atlanta Hawks,94,Cleveland Cavaliers,127,Box Score,,
Sat Nov 15 2014,8:30 pm,Minnesota Timberwolves,117,Dallas Mavericks,131,Box Score,,
Sat Nov 15 2014,10:30 pm,Charlotte Hornets,87,Golden State Warriors,112,Box Score,,
Sat Nov 15 2014,10:30 pm,Phoenix Suns,107,Los Angeles Clippers,120,Box Score,,
Sat Nov 15 2014,8:00 pm,Detroit Pistons,88,Memphis Grizzlies,95,Box Score,,
Sat Nov 15 2014,10:00 pm,Brooklyn Nets,87,Portland Trail Blazers,97,Box Score,,
Sat Nov 15 2014,10:00 pm,San Antonio Spurs,91,Sacramento Kings,94,Box Score,,
Sat Nov 15 2014,7:30 pm,Utah Jazz,93,Toronto Raptors,111,Box Score,,
Sat Nov 15 2014,7:00 pm,Orlando Magic,93,Washington Wizards,98,Box Score,,
Sun Nov 16 2014,9:30 pm,Golden State Warriors,136,Los Angeles Lakers,115,Box Score,,
Sun Nov 16 2014,6:00 pm,Milwaukee Bucks,91,Miami Heat,84,Box Score,,
Sun Nov 16 2014,1:00 pm,Denver Nuggets,93,New York Knicks,109,Box Score,,
Sun Nov 16 2014,7:00 pm,Houston Rockets,69,Oklahoma City Thunder,65,Box Score,,
Mon Nov 17 2014,7:30 pm,Phoenix Suns,118,Boston Celtics,114,Box Score,,
Mon Nov 17 2014,7:30 pm,Miami Heat,95,Brooklyn Nets,83,Box Score,,
Mon Nov 17 2014,7:00 pm,Dallas Mavericks,107,Charlotte Hornets,80,Box Score,,
Mon Nov 17 2014,7:00 pm,Denver Nuggets,106,Cleveland Cavaliers,97,Box Score,,
Mon Nov 17 2014,7:30 pm,Orlando Magic,107,Detroit Pistons,93,Box Score,,
Mon Nov 17 2014,10:30 pm,Chicago Bulls,105,Los Angeles Clippers,89,Box Score,,
Mon Nov 17 2014,8:00 pm,Houston Rockets,93,Memphis Grizzlies,119,Box Score,,
Mon Nov 17 2014,10:00 pm,New Orleans Pelicans,93,Portland Trail Blazers,102,Box Score,,
Mon Nov 17 2014,8:30 pm,Philadelphia 76ers,75,San Antonio Spurs,100,Box Score,,
Tue Nov 18 2014,7:30 pm,Los Angeles Lakers,114,Atlanta Hawks,109,Box Score,,
Tue Nov 18 2014,8:00 pm,New York Knicks,113,Milwaukee Bucks,117,Box Score,,
Tue Nov 18 2014,10:00 pm,New Orleans Pelicans,106,Sacramento Kings,100,Box Score,,
Tue Nov 18 2014,9:00 pm,Oklahoma City Thunder,81,Utah Jazz,98,Box Score,,
Wed Nov 19 2014,7:30 pm,Milwaukee Bucks,122,Brooklyn Nets,118,Box Score,3OT,
Wed Nov 19 2014,7:00 pm,San Antonio Spurs,92,Cleveland Cavaliers,90,Box Score,,
Wed Nov 19 2014,9:00 pm,Oklahoma City Thunder,100,Denver Nuggets,107,Box Score,,
Wed Nov 19 2014,7:30 pm,Phoenix Suns,88,Detroit Pistons,86,Box Score,,
Wed Nov 19 2014,9:30 pm,Los Angeles Lakers,98,Houston Rockets,92,Box Score,,
Wed Nov 19 2014,7:00 pm,Charlotte Hornets,86,Indiana Pacers,88,Box Score,,
Wed Nov 19 2014,8:00 pm,New York Knicks,99,Minnesota Timberwolves,115,Box Score,,
Wed Nov 19 2014,7:00 pm,Los Angeles Clippers,114,Orlando Magic,90,Box Score,,
Wed Nov 19 2014,7:00 pm,Boston Celtics,101,Philadelphia 76ers,90,Box Score,,
Wed Nov 19 2014,7:30 pm,Memphis Grizzlies,92,Toronto Raptors,96,Box Score,,
Wed Nov 19 2014,7:00 pm,Dallas Mavericks,105,Washington Wizards,102,Box Score,,
Thu Nov 20 2014,8:00 pm,Los Angeles Clippers,110,Miami Heat,93,Box Score,,
Thu Nov 20 2014,10:30 pm,Chicago Bulls,88,Sacramento Kings,103,Box Score,,
Fri Nov 21 2014,7:30 pm,Detroit Pistons,89,Atlanta Hawks,99,Box Score,,
Fri Nov 21 2014,7:00 pm,Orlando Magic,105,Charlotte Hornets,100,Box Score,,
Fri Nov 21 2014,8:30 pm,Los Angeles Lakers,106,Dallas Mavericks,140,Box Score,,
Fri Nov 21 2014,9:00 pm,New Orleans Pelicans,97,Denver Nuggets,117,Box Score,,
Fri Nov 21 2014,10:30 pm,Utah Jazz,88,Golden State Warriors,101,Box Score,,
Fri Nov 21 2014,8:00 pm,Boston Celtics,100,Memphis Grizzlies,117,Box Score,,
Fri Nov 21 2014,8:00 pm,San Antonio Spurs,121,Minnesota Timberwolves,92,Box Score,,
Fri Nov 21 2014,8:00 pm,Brooklyn Nets,94,Oklahoma City Thunder,92,Box Score,,
Fri Nov 21 2014,7:00 pm,Phoenix Suns,122,Philadelphia 76ers,96,Box Score,,
Fri Nov 21 2014,10:30 pm,Chicago Bulls,87,Portland Trail Blazers,105,Box Score,,
Fri Nov 21 2014,7:30 pm,Milwaukee Bucks,82,Toronto Raptors,124,Box Score,,
Fri Nov 21 2014,8:00 pm,Cleveland Cavaliers,78,Washington Wizards,91,Box Score,,
Sat Nov 22 2014,7:30 pm,Toronto Raptors,110,Cleveland Cavaliers,93,Box Score,,
Sat Nov 22 2014,8:00 pm,Dallas Mavericks,92,Houston Rockets,95,Box Score,,
Sat Nov 22 2014,7:00 pm,Phoenix Suns,106,Indiana Pacers,83,Box Score,,
Sat Nov 22 2014,8:30 pm,Washington Wizards,111,Milwaukee Bucks,100,Box Score,,
Sat Nov 22 2014,8:00 pm,Sacramento Kings,113,Minnesota Timberwolves,101,Box Score,,
Sat Nov 22 2014,7:30 pm,Philadelphia 76ers,83,New York Knicks,91,Box Score,,
Sat Nov 22 2014,7:00 pm,Miami Heat,99,Orlando Magic,92,Box Score,,
Sat Nov 22 2014,8:30 pm,Brooklyn Nets,87,San Antonio Spurs,99,Box Score,,
Sat Nov 22 2014,9:00 pm,New Orleans Pelicans,106,Utah Jazz,94,Box Score,,
Sun Nov 23 2014,6:00 pm,Portland Trail Blazers,94,Boston Celtics,88,Box Score,,
Sun Nov 23 2014,9:30 pm,Denver Nuggets,101,Los Angeles Lakers,94,Box Score,OT,
Sun Nov 23 2014,6:00 pm,Los Angeles Clippers,91,Memphis Grizzlies,107,Box Score,,
Sun Nov 23 2014,6:00 pm,Charlotte Hornets,93,Miami Heat,94,Box Score,,
Sun Nov 23 2014,7:00 pm,Golden State Warriors,91,Oklahoma City Thunder,86,Box Score,,
Mon Nov 24 2014,7:00 pm,Los Angeles Clippers,113,Charlotte Hornets,92,Box Score,,
Mon Nov 24 2014,7:00 pm,Orlando Magic,74,Cleveland Cavaliers,106,Box Score,,
Mon Nov 24 2014,8:30 pm,Indiana Pacers,111,Dallas Mavericks,100,Box Score,,
Mon Nov 24 2014,8:00 pm,New York Knicks,86,Houston Rockets,91,Box Score,,
Mon Nov 24 2014,7:00 pm,Portland Trail Blazers,114,Philadelphia 76ers,104,Box Score,,
Mon Nov 24 2014,7:30 pm,Phoenix Suns,100,Toronto Raptors,104,Box Score,,
Mon Nov 24 2014,9:00 pm,Chicago Bulls,97,Utah Jazz,95,Box Score,,
Tue Nov 25 2014,9:00 pm,Chicago Bulls,109,Denver Nuggets,114,Box Score,,
Tue Nov 25 2014,7:30 pm,Golden State Warriors,114,Miami Heat,97,Box Score,,
Tue Nov 25 2014,8:00 pm,Detroit Pistons,86,Milwaukee Bucks,98,Box Score,,
Tue Nov 25 2014,8:00 pm,Sacramento Kings,99,New Orleans Pelicans,89,Box Score,,
Tue Nov 25 2014,7:00 pm,Atlanta Hawks,106,Washington Wizards,102,Box Score,,
Wed Nov 26 2014,7:30 pm,Toronto Raptors,126,Atlanta Hawks,115,Box Score,,
Wed Nov 26 2014,7:00 pm,Portland Trail Blazers,105,Charlotte Hornets,97,Box Score,,
Wed Nov 26 2014,7:00 pm,Washington Wizards,87,Cleveland Cavaliers,113,Box Score,,
Wed Nov 26 2014,7:30 pm,New York Knicks,102,Dallas Mavericks,109,Box Score,OT,
Wed Nov 26 2014,7:30 pm,Los Angeles Clippers,104,Detroit Pistons,98,Box Score,,
Wed Nov 26 2014,8:00 pm,Sacramento Kings,89,Houston Rockets,102,Box Score,,
Wed Nov 26 2014,10:30 pm,Memphis Grizzlies,99,Los Angeles Lakers,93,Box Score,,
Wed Nov 26 2014,8:00 pm,Milwaukee Bucks,103,Minnesota Timberwolves,86,Box Score,,
Wed Nov 26 2014,8:00 pm,Utah Jazz,82,Oklahoma City Thunder,97,Box Score,,
Wed Nov 26 2014,7:00 pm,Golden State Warriors,111,Orlando Magic,96,Box Score,,
Wed Nov 26 2014,7:00 pm,Brooklyn Nets,99,Philadelphia 76ers,91,Box Score,,
Wed Nov 26 2014,9:00 pm,Denver Nuggets,112,Phoenix Suns,120,Box Score,,
Wed Nov 26 2014,8:30 pm,Indiana Pacers,100,San Antonio Spurs,106,Box Score,,
Fri Nov 28 2014,7:30 pm,New Orleans Pelicans,91,Atlanta Hawks,100,Box Score,,
Fri Nov 28 2014,1:00 pm,Chicago Bulls,109,Boston Celtics,102,Box Score,,
Fri Nov 28 2014,7:00 pm,Golden State Warriors,106,Charlotte Hornets,101,Box Score,,
Fri Nov 28 2014,9:00 pm,Phoenix Suns,97,Denver Nuggets,122,Box Score,,
Fri Nov 28 2014,7:30 pm,Milwaukee Bucks,104,Detroit Pistons,88,Box Score,,
Fri Nov 28 2014,8:00 pm,Los Angeles Clippers,102,Houston Rockets,85,Box Score,,
Fri Nov 28 2014,8:00 pm,Orlando Magic,83,Indiana Pacers,98,Box Score,,
Fri Nov 28 2014,10:30 pm,Minnesota Timberwolves,120,Los Angeles Lakers,119,Box Score,,
Fri Nov 28 2014,8:00 pm,New York Knicks,78,Oklahoma City Thunder,105,Box Score,,
Fri Nov 28 2014,10:00 pm,Memphis Grizzlies,112,Portland Trail Blazers,99,Box Score,,
Fri Nov 28 2014,8:30 pm,Sacramento Kings,104,San Antonio Spurs,112,Box Score,,
Fri Nov 28 2014,7:30 pm,Dallas Mavericks,106,Toronto Raptors,102,Box Score,,
Sat Nov 29 2014,7:30 pm,Charlotte Hornets,75,Atlanta Hawks,105,Box Score,,
Sat Nov 29 2014,7:30 pm,Indiana Pacers,97,Cleveland Cavaliers,109,Box Score,,
Sat Nov 29 2014,9:00 pm,Houston Rockets,117,Milwaukee Bucks,103,Box Score,,
Sat Nov 29 2014,7:00 pm,Dallas Mavericks,110,Philadelphia 76ers,103,Box Score,,
Sat Nov 29 2014,9:00 pm,Los Angeles Clippers,112,Utah Jazz,96,Box Score,,
Sat Nov 29 2014,7:00 pm,New Orleans Pelicans,80,Washington Wizards,83,Box Score,,
Sun Nov 30 2014,1:00 pm,San Antonio Spurs,111,Boston Celtics,89,Box Score,,
Sun Nov 30 2014,3:00 pm,Chicago Bulls,102,Brooklyn Nets,84,Box Score,,
Sun Nov 30 2014,3:30 pm,Golden State Warriors,104,Detroit Pistons,93,Box Score,,
Sun Nov 30 2014,9:30 pm,Toronto Raptors,122,Los Angeles Lakers,129,Box Score,OT,
Sun Nov 30 2014,7:30 pm,Miami Heat,86,New York Knicks,79,Box Score,,
Sun Nov 30 2014,8:00 pm,Orlando Magic,93,Phoenix Suns,90,Box Score,,
Sun Nov 30 2014,9:00 pm,Minnesota Timberwolves,93,Portland Trail Blazers,107,Box Score,,
Sun Nov 30 2014,6:00 pm,Memphis Grizzlies,97,Sacramento Kings,85,Box Score,,
