RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
52,"Dwight Howard, HOU",71,32.1,0.604,9.1,15.5,17.3,11.4,29.1,20.2,18.99,285.6,9.5
53,"Giannis Antetokounmpo, MIL",80,35.3,0.566,19.8,11.9,21.8,4.6,20,12.4,18.86,352.1,11.7
54,"Ed Davis, POR",81,20.8,0.616,15.2,11.1,12.3,14.4,24.2,19.3,18.76,205,6.8
55,"Klay Thompson, GS",80,33.3,0.597,9.3,7.7,24.3,1.5,10.3,6.2,18.67,325,10.8
56,"John Henson, MIL",57,16.8,0.58,11.7,13.9,18,10.4,15.8,13.2,18.63,102.2,3.4
57,"Zach Randolph, MEM",68,29.6,0.519,11.4,8.4,23.5,9.7,20.7,15,18.39,207.3,6.9
58,"Gordon Hayward, UTAH",80,36.2,0.559,15.5,10.6,24.9,2.5,13.5,8,18.37,339.6,11.3
59,"Clint Capela, HOU",77,19.1,0.553,7.9,10.1,15.1,14.4,22.7,18.5,18.3,149.3,5
60,"Al Jefferson, CHA",47,23.3,0.507,10.6,5.2,22.4,5.6,24.6,15,18.26,125.3,4.2
61,"Jeff Teague, ATL",79,28.5,0.551,25.9,12,26.3,1.6,8.6,5.2,17.98,235.1,7.8
62,"Tyreke Evans, NO",25,30.6,0.534,27.7,12.3,25,2.8,16.4,9.3,17.96,85.1,2.8
63,"Manu Ginobili, SA",58,19.6,0.573,23.3,13,23.2,2.7,11.7,7.3,17.9,125.3,4.2
64,"Kristaps Porzingis, NY",72,28.4,0.518,7.8,10,22.9,7.1,20.7,14,17.8,192.6,6.4
65,"Aron Baynes, DET",81,15.2,0.563,8.9,11.7,17.7,11.9,22.5,17,17.8,132.5,4.4
66,"CJ McCollum, POR",80,34.8,0.544,16.5,9.5,26.4,1.8,8.3,5,17.79,302.6,10.1
67,"Festus Ezeli, GS",46,16.7,0.559,9,10.7,16.8,13.5,21.9,18,17.77,82.4,2.7
68,"Lou Williams, LAL",67,28.5,0.584,14.5,9.3,21.9,1.7,8.1,4.8,17.76,206.8,6.9
69,"Marc Gasol, MEM",52,34.4,0.528,17.4,10.5,22.9,3.5,20.2,11.5,17.74,190.9,6.4
70,"Jeff Withey, UTAH",51,12.9,0.577,8.5,11.9,14.2,10,20.7,15.4,17.69,69.7,2.3
71,"Robin Lopez, NY",82,27.1,0.574,11.6,13.6,16.7,13.4,16.2,14.8,17.66,233.8,7.8
72,"David West, SA",78,18,0.573,20.6,9.8,17.5,6,18.6,12.5,17.66,129,4.3
73,"Ricky Rubio, MIN",76,30.6,0.529,41.7,12.3,19.7,2,14.1,8.2,17.64,230.3,7.7
74,"JJ Redick, LAC",75,28,0.632,9.2,6.8,20.7,0.5,6.6,3.6,17.58,221.6,7.4
75,"Thaddeus Young, BKN",73,33,0.533,10.4,10.4,20.4,8.1,23,15.4,17.58,218.4,7.3
76,"Rudy Gobert, UTAH",61,31.7,0.582,13.3,16.7,13.6,12.6,27.7,20.2,17.51,199.3,6.6
77,"Kyle O'Quinn, NY",65,11.8,0.52,16.7,14.2,20.5,11,24.5,17.9,17.5,68.5,2.3
78,"Miles Plumlee, MIL",61,14.3,0.606,5.1,12.7,14.2,12.5,18,15.2,17.43,88.6,3
79,"Brandon Bass, LAL",66,20.3,0.619,14.9,8.4,13.4,8.1,15,11.4,17.38,117.8,3.9
80,"Amar'e Stoudemire, MIA",52,14.7,0.599,8.3,14.5,16.5,10,22.6,16.5,17.34,66.4,2.2
81,"Mario Chalmers, MIA/MEM",61,22.5,0.561,25.6,12.2,18.1,1.9,11.5,6.5,17.33,0,0
82,"Ryan Anderson, NO",66,30.4,0.546,6.1,7.5,22.6,7,15.2,10.9,17.3,173.8,5.8
83,"Derrick Williams, NY",80,17.9,0.55,9.2,7.5,21.8,3.6,18.7,11.3,17.28,123.9,4.1
84,"Mason Plumlee, POR",82,25.4,0.564,21.6,14.7,17.1,10.4,22.2,16.3,17.24,206.6,6.9
85,"Marreese Speights, GS",72,11.6,0.506,9.6,10.4,27.5,10.6,19.8,15.5,17.18,81.6,2.7
86,"Gorgui Dieng, MIN",82,27.1,0.601,14.7,14.4,15.9,8.3,22.1,15.3,17.17,217.6,7.3
87,"Jahlil Okafor, PHI",53,30,0.536,6.2,11.8,24.9,8.1,17.8,12.8,17.14,155.4,5.2
88,"Dewayne Dedmon, ORL",58,12.2,0.606,5.1,12.5,14,10.4,25.7,17.9,17.08,68.2,2.3
89,"Aaron Gordon, ORL",78,23.9,0.541,14.9,7.7,16.6,9,21.3,15.1,17.07,154.9,5.2
90,"Tim Duncan, SA",61,25.2,0.523,21.7,12,17.2,8.8,23.8,16.6,16.98,146.2,4.9
91,"Rajon Rondo, SAC",72,35.2,0.506,42.7,14.1,21.3,3.3,15.2,9.3,16.92,224.1,7.5
92,"Marvin Williams, CHA",81,28.9,0.585,11.2,6.3,15.6,5.9,18.6,12.2,16.9,188.3,6.3
93,"Dwight Powell, DAL",69,14.4,0.557,9.9,9,16.9,9.3,20.9,15.1,16.87,79.6,2.7
94,"Nene , WSH",57,19.2,0.564,15.2,11.9,20.4,5.2,21.6,13.2,16.86,102.2,3.4
95,"Khris Middleton, MIL",79,36.1,0.56,18.5,10.1,22.4,1.8,10.2,6.1,16.85,270.1,9
96,"Jared Sullinger, BOS",81,23.6,0.476,16,8.7,21.1,10.6,27,18.7,16.78,176.6,5.9
97,"Victor Oladipo, ORL",72,33,0.534,18.6,10.1,22.3,2.2,14,8,16.77,222.6,7.4
98,"Ian Mahinmi, IND",71,25.6,0.603,13.8,13.3,14.9,8.3,22.1,15.3,16.66,164.3,5.5
99,"Andrew Wiggins, MIN",81,35.1,0.543,8.7,9.6,25.1,4.4,7.5,6,16.61,259.4,8.6
100,"Jordan Hill, IND",73,20.7,0.534,11.1,11.8,19,11.3,21.2,16.3,16.42,131.5,4.4
101,"Kelly Olynyk, BOS",69,20.2,0.561,13.3,9.4,20.1,5.4,16.2,10.7,16.33,119.4,4
102,"Chandler Parsons, DAL",61,29.5,0.589,17.3,9.7,19.5,1.8,15.6,8.7,16.31,155.9,5.2
103,"Nerlens Noel, PHI",67,29.3,0.544,12.6,16.3,17.6,8.2,22.2,15,16.28,140.1,4.7
104,"Mirza Teletovic, PHX",79,21.3,0.571,8.7,8.3,22.1,3.5,16.3,9.7,16.27,120,4
105,"Zaza Pachulia, DAL",76,26.4,0.55,15.3,14.2,15.3,13.7,25.7,19.7,16.26,169.2,5.6
106,"Jon Leuer, PHX",67,18.7,0.555,11,11.4,18.9,6.4,26.3,16.1,16.24,88.8,3
107,"Tobias Harris, DET/ORL",76,33.1,0.56,13.3,8.5,19.7,4.1,18.6,11.2,16.23,215.1,7.2
108,"Tony Parker, SA",72,27.5,0.546,29.3,10.1,21.6,1,8.8,5.1,16.22,154.2,5.1
109,"Cody Zeller, CHA",73,24.3,0.592,10.5,10,14.3,8.4,19.7,14,16.18,147.8,4.9
110,"Will Barton, DEN",82,28.7,0.535,14.1,9.6,22.2,2.7,20,11.2,16.07,195.6,6.5
111,"Amir Johnson, BOS",79,22.8,0.602,19.4,13.2,13.3,10.3,19.6,14.9,16.03,121.8,4.1
112,"Jusuf Nurkic, DEN",32,17.1,0.46,10.5,14.5,25.9,12.9,22.7,17.7,16.01,44.2,1.5
113,"Ramon Sessions, WSH",82,20.3,0.565,22.3,10.7,21.3,1.6,12.2,6.8,15.93,122.7,4.1
114,"Richaun Holmes, PHI",51,13.8,0.564,10.3,10,16.6,9.3,11.7,10.5,15.93,46.4,1.5
115,"Jeremy Lamb, CHA",66,18.6,0.528,11.4,7.4,20.4,3.9,18.7,11.2,15.92,99.3,3.3
116,"Andrew Bogut, GS",70,20.7,0.623,29.7,15.2,11.7,9.5,26,18.3,15.92,115.1,3.8
117,"Tristan Thompson, CLE",82,27.7,0.611,9.5,9.4,11,13.5,23.3,18.4,15.91,179.7,6
118,"Darren Collison, SAC",74,30,0.591,24,9.8,19.2,1.4,6.8,4.1,15.91,162.5,5.4
119,"Jae Crowder, BOS",73,31.6,0.565,11.9,7.3,17.6,3.2,14.2,8.6,15.85,184.2,6.1
120,"Joffrey Lauvergne, DEN",59,17.6,0.567,10.8,10.4,18.5,8.1,23.1,15.4,15.8,80.8,2.7
121,"TJ Warren, PHX",47,22.8,0.549,8.1,5.9,18.8,5.7,9.3,7.5,15.78,84.3,2.8
122,"Taj Gibson, CHI",73,26.5,0.556,14.2,10.4,14,11.4,15.9,13.7,15.7,121.3,4
123,"Nicolas Batum, CHA",70,35,0.546,25.7,13.1,21.3,2.4,16.8,9.6,15.69,189.6,6.3
124,"Nikola Mirotic, CHI",66,24.9,0.564,11.2,11.5,20,3.8,19.1,11.6,15.63,101.6,3.4
125,"Dennis Schroder, ATL",80,20.3,0.51,25.1,13.1,28.3,1.7,11.8,6.9,15.62,111.8,3.7
126,"Sean Kilpatrick, DEN/BKN",31,19.9,0.576,8.1,8.6,14.4,2.1,8.2,5.1,15.62,47.1,1.6
127,"Bradley Beal, WSH",55,31.1,0.547,14.1,9.7,23.8,2.6,9.8,6.2,15.61,130.1,4.3
128,"Goran Dragic, MIA",72,32.8,0.537,27,11.9,22.1,2.7,10.4,6.6,15.57,161.3,5.4
129,"Steven Adams, OKC",80,25.2,0.621,9.4,12.8,12.1,12.5,16.1,14.4,15.54,148.3,4.9
130,"J.J. Barea, DAL",74,22.5,0.536,25.9,9.7,23.6,1.7,8.3,5,15.52,112.4,3.7
131,"Rudy Gay, SAC",70,34,0.538,8.7,10.1,20.9,4.7,15.9,10.4,15.51,178,5.9
132,"Myles Turner, IND",60,22.8,0.531,5.9,9.7,19.2,5.5,21,13.3,15.51,81.8,2.7
133,"Tyler Zeller, BOS",60,11.8,0.539,7,11.2,21.5,9.1,17.6,13.3,15.42,51.1,1.7
134,"Willie Cauley-Stein, SAC",66,21.4,0.588,7.8,9.6,12.3,10.3,16.6,13.5,15.31,99.3,3.3
135,"Shabazz Muhammad, MIN",82,20.5,0.548,5.7,7.7,20.9,7,11.4,9.2,15.26,119.4,4
136,"Kosta Koufos, SAC",78,19,0.54,5.8,8.4,14.2,12.4,18.4,15.4,15.15,100.6,3.4
137,"Luol Deng, MIA",74,32.4,0.549,13.3,7.7,16.4,5.3,15.4,10.5,15.02,161.4,5.4
138,"Ish Smith, NO/PHI",77,29.1,0.465,29.2,10.2,22.1,2,13.2,7.4,14.97,132.6,4.4
139,"Kobe Bryant, LAL",66,28.2,0.469,11.9,8.3,30.7,2.3,12.3,7.1,14.94,123.4,4.1
140,"Bismack Biyombo, TOR",82,22,0.586,5.9,14.6,10.7,11.7,29.5,20.8,14.91,116.2,3.9
141,"Andrew Nicholson, ORL",56,14.7,0.567,6.2,10.1,18.8,4.5,22.8,13.5,14.85,41.1,1.4
142,"Jabari Parker, MIL",76,31.7,0.535,10.4,9.3,19.6,5.9,12.8,9.4,14.83,119.5,4
143,"Marcus Thornton, HOU/WSH",61,18.2,0.511,11.9,7.2,23.1,3.8,11.3,7.5,14.81,71.3,2.4
144,"Brandon Knight, PHX",52,36,0.522,18.6,12.5,25.8,2,9.9,5.9,14.75,104.8,3.5
145,"Toney Douglas, NO",61,20.7,0.543,22.1,9,19,2.1,10.7,6.3,14.74,70.4,2.3
146,"Tyson Chandler, PHX",66,24.5,0.606,11.7,17,12.1,11.5,27.5,19.3,14.74,99.9,3.3
147,"Jason Smith, ORL",76,15.5,0.513,9.5,8.7,20.6,4.9,15.8,10.3,14.72,56.7,1.9
148,"Quincy Acy, SAC",59,14.8,0.629,9.1,9.1,12.3,8.1,15.1,11.6,14.71,55,1.8
149,"Evan Fournier, ORL",79,32.5,0.587,15.5,9.6,19.3,1.4,8.4,4.9,14.71,161,5.4
150,"Patty Mills, SA",81,20.5,0.541,24.1,8.1,19.5,1.9,8.7,5.4,14.69,91.6,3.1
151,"JaMychal Green, MEM",78,18.5,0.52,9.5,11.8,18.7,10.5,19.3,14.7,14.68,68.7,2.3
151,"Deron Williams, DAL",65,32.4,0.53,27.1,10.8,22.1,1,8.9,5,14.68,115.6,3.9
153,"Timofey Mozgov, CLE",76,17.4,0.593,6.5,14.1,15,9.5,19.2,14.4,14.63,79.8,2.7
154,"Thomas Robinson, BKN",71,12.9,0.453,10.1,15.2,18.6,16.4,27.8,22,14.54,41.6,1.4
155,"T.J. McConnell, PHI",81,19.8,0.511,37.1,14.2,18.1,2.8,14.5,8.5,14.52,84.4,2.8
156,"Otto Porter Jr., WSH",75,30.3,0.564,12.5,7.3,15.1,4.7,14.7,9.6,14.51,136.1,4.5
157,"Jarrett Jack, BKN",32,32.1,0.505,32,12.8,22.8,1,14.1,7.4,14.49,53.5,1.8
158,"Trevor Booker, UTAH",79,20.7,0.533,13.9,13.5,14,11.9,20.4,16.2,14.4,70.7,2.4
159,"Alec Burks, UTAH",31,25.7,0.52,12.4,10,24.7,2.4,13.6,8,14.38,46.1,1.5
160,"Zach LaVine, MIN",82,28,0.548,17.3,10.7,22.6,1.4,10.1,5.8,14.34,114.3,3.8
161,"Jordan Clarkson, LAL",79,32.3,0.516,12.7,8.9,21.8,3.8,9.6,6.6,14.34,127,4.2
162,"Ersan Ilyasova, DET/ORL",74,25.4,0.526,7.7,8.2,17.8,8.1,15.6,11.7,14.26,77.5,2.6
163,"Rondae Hollis-Jefferson, BKN",29,21.2,0.519,18.7,11.3,13.2,7,21.4,14.1,14.23,34.2,1.1
164,"Rodney Hood, UTAH",79,32.2,0.542,15.2,8.9,20.8,1.8,10.5,6.1,14.17,139,4.6
165,"Joakim Noah, CHI",29,21.9,0.406,34.9,16.5,15.2,14.7,27.3,21.1,14.08,33,1.1
166,"CJ Miles, IND",64,22.9,0.547,7.7,8.5,21.1,1.9,11.1,6.5,14.08,78.2,2.6
167,"Mike Scott, ATL",75,15.3,0.575,14.9,8,16.2,5.2,14.2,9.8,14.06,43.9,1.5
168,"Trey Burke, UTAH",64,21.3,0.507,16.5,8.9,24.6,1.5,8,4.8,14.06,62.3,2.1
169,"Jamal Crawford, LAC",79,26.9,0.529,13.5,8.3,23.2,1,6.3,3.7,14.04,112.3,3.7
170,"Boris Diaw, SA",76,18.2,0.582,25.5,14.1,16.9,4.9,13.9,9.6,14,70.4,2.3
171,"Serge Ibaka, OKC",78,32.1,0.533,6,9.9,16.6,6.5,16.2,11.6,13.99,92.9,3.1
172,"Michael Carter-Williams, MIL",54,30.5,0.497,26.5,14.4,21.5,3.4,15.7,9.6,13.98,73.4,2.4
173,"Elfrid Payton, ORL",73,29.4,0.478,32,12.1,21.4,3.9,9.6,6.7,13.98,95.3,3.2
174,"Donald Sloan, BKN",61,21.6,0.536,36,10.8,17.3,1.4,13.5,7.4,13.98,58.5,2
175,"Omri Casspi, SAC",69,27.2,0.587,10.8,10.7,16.7,3.4,20.1,11.8,13.96,97.2,3.2
176,"D.J. Augustin, DEN/OKC",62,19,0.575,28.8,12.2,22.3,0.8,8,4.4,13.94,51.6,1.7
177,"Julius Randle, LAL",81,28.2,0.482,11.6,12,20.2,7.8,32,19.5,13.92,82.6,2.8
178,"Tim Frazier, NO/POR",51,14.5,0.499,33.2,13.3,23.1,3.8,12.8,8.2,13.9,32,1.1
179,"Alexis Ajinca, NO",59,14.6,0.514,7.3,12.6,18.7,9.3,25.9,17.3,13.9,42.3,1.4
180,"Seth Curry, SAC",44,15.7,0.603,19.1,10.3,17,1.4,7.9,4.7,13.9,35.1,1.2
181,"Bobby Portis, CHI",62,17.8,0.469,9.1,9.5,19.4,12,20,16.1,13.9,39.4,1.3
182,"Shaun Livingston, GS",78,19.5,0.581,32.2,10.6,14.6,3.2,8.5,6,13.89,65.6,2.2
183,"Jeremy Lin, CHA",78,26.3,0.534,18.9,12.1,21.2,2.2,11.4,6.8,13.8,85.6,2.9
184,"Tyler Johnson, MIA",36,24,0.579,19.9,11.8,16.4,3.8,10.3,7.2,13.8,42.5,1.4
185,"Tiago Splitter, ATL",36,16.1,0.571,13,10.4,14.3,8.7,13.8,11.3,13.79,27.6,0.9
186,"Monta Ellis, IND",81,33.8,0.504,22.6,12,20.9,1.7,9.1,5.4,13.79,134.4,4.5
187,"Brandon Jennings, DET/ORL",48,18.1,0.491,30.1,10.1,19.9,2,10.4,6.1,13.75,35.6,1.2
188,"Mike Muscala, ATL",60,9.4,0.576,14.8,11.7,14.5,7.5,14.9,11.3,13.68,18.4,0.6
189,"Luis Scola, TOR",76,21.5,0.523,8.6,8.8,18.2,6,19,12.6,13.67,53.1,1.8
190,"Evan Turner, BOS",81,28,0.513,26.4,12.4,19.1,2.3,16.5,9.3,13.65,106.9,3.6
191,"Shelvin Mack, ATL/UTAH",52,20.3,0.507,25.8,13.1,28,1.4,12.5,7,13.64,41.7,1.4
192,"Gary Neal, WSH",40,20.2,0.558,11.1,6.8,19,1.5,10.2,5.8,13.59,0,0
193,"Terrence Jones, HOU",50,20.9,0.519,8.1,9.6,18,6.5,15.9,11.1,13.56,32,1.1
194,"Lance Stephenson, LAC/MEM",69,19.9,0.548,17.7,12.5,14.6,3.2,15.1,9.1,13.54,62.2,2.1
195,"Derrick Rose, CHI",66,31.8,0.479,19.3,10.9,26.8,2.4,8.8,5.6,13.52,79,2.6
196,"Eric Gordon, NO",45,32.9,0.565,15.1,9.1,19.3,0.7,6.9,3.7,13.52,66.7,2.2
197,"Kent Bazemore, ATL",75,27.8,0.551,15.5,12.5,18.7,1.5,18,9.9,13.42,90.7,3
198,"Larry Nance Jr., LAL",63,20.1,0.544,10.8,10.1,11.9,8.3,18.6,13.3,13.39,35.7,1.2
199,"Maurice Harkless, POR",78,18.7,0.541,11.4,10.5,14.9,7.5,13.3,10.4,13.37,62.3,2.1
200,"Norman Powell, TOR",49,14.8,0.541,14.2,9.7,17,2.6,14.8,8.8,13.36,30.9,1
201,"Shane Larkin, BKN",78,22.4,0.515,33,14.1,18.6,1.8,9.9,5.8,13.36,61.5,2.1
202,"Avery Bradley, BOS",76,33.4,0.538,11.8,8.1,18.9,2,7.3,4.6,13.25,85.1,2.8
203,"Robert Covington, PHI",67,28.4,0.543,9.4,13.9,19.9,3.6,20.9,12,13.24,77.9,2.6
204,"D'Angelo Russell, LAL",80,28.2,0.507,17.7,13.1,23.5,2.2,11.2,6.5,13.22,74.9,2.5
205,"George Hill, IND",74,34.1,0.555,22.2,8.7,15.6,2.5,10.3,6.5,13.22,83.6,2.8
206,"Devin Harris, DAL",64,20,0.559,19,10.7,17.2,1.5,10.3,5.9,13.17,41.5,1.4
207,"Kris Humphries, ATL/PHX/WSH",53,15.8,0.517,8.9,9.4,18.6,0,0,0,13.12,20.2,0.7
208,"Patrick Beverley, HOU",71,28.7,0.553,24.8,9.5,15.4,3.9,9.6,6.8,13.07,63.2,2.1
209,"Jeff Green, LAC/MEM",80,28.2,0.51,12,8.1,18.8,3.6,13.2,8.3,13.04,85.3,2.8
210,"Channing Frye, CLE/ORL",70,17.1,0.586,14.9,9,17.4,3.2,18.6,10.9,12.99,26.6,0.9
211,"Kyle Anderson, SA",78,16,0.528,24,11.5,14.2,2.4,19.4,11.2,12.99,46.2,1.5
212,"Gerald Henderson, POR",72,19.9,0.526,10.2,9.2,19.1,2.3,13.7,8,12.97,52.8,1.8
213,"Trevor Ariza, HOU",81,35.3,0.551,15.3,9.2,15.2,2.6,11.6,7.1,12.97,105.3,3.5
214,"Cameron Payne, OKC",57,12.2,0.49,24.5,10,20.8,1.5,11.2,6.6,12.95,20.3,0.7
215,"Terrence Ross, TOR",73,23.9,0.551,7.4,6.1,16.9,1.4,10.6,6.1,12.95,63.8,2.1
216,"Tony Allen, MEM",64,25.3,0.505,10.3,11.5,16,7,14.1,10.4,12.94,59,2
217,"Gary Harris, DEN",76,32.1,0.566,13.8,9.2,15.9,2.4,7.7,5,12.78,83.1,2.8
218,"Marcus Morris, DET",80,35.7,0.531,14.3,10,17.9,3.3,12.4,7.7,12.77,54.1,1.8
219,"Al-Farouq Aminu, POR",82,28.5,0.533,13.2,11.5,16.3,4.5,18.6,11.5,12.76,79,2.6
220,"Vince Carter, MEM",60,16.8,0.52,11.9,7.4,17.7,3.4,13.6,8.3,12.75,33.8,1.1
221,"Jerami Grant, PHI",77,26.8,0.506,13.7,11.2,17,5,14.3,9.5,12.68,67.2,2.2
222,"Rodney Stuckey, IND",58,22,0.504,19.4,10.4,19.8,1.6,11.7,6.7,12.65,31.5,1
223,"Darrell Arthur, DEN",70,21.7,0.514,14.2,9.8,16.1,6.2,15.4,10.7,12.55,23.7,0.8
224,"Frank Kaminsky, CHA",81,21.1,0.513,13.1,7.8,16,4.4,17.2,10.7,12.51,48.6,1.6
225,"Mo Williams, CLE",41,18.2,0.527,20.6,12,22.5,0.9,9.9,5.5,12.5,16.7,0.6
226,"Alex Len, PHX",78,23.3,0.482,10,14.9,19.4,10.4,25.4,17.7,12.49,51.4,1.7
227,"Cory Joseph, TOR",80,25.6,0.512,24.7,10.1,17,2.2,9.4,5.9,12.43,43.8,1.5
228,"JR Smith, CLE",77,30.7,0.542,12.1,5.5,17.1,2.1,8.3,5.2,12.43,68.1,2.3
229,"Jerryd Bayless, MIL",52,28.9,0.568,22.9,10.2,16.3,1.6,9,5.4,12.43,32.1,1.1
230,"Spencer Hawes, CHA",57,18.2,0.508,21.7,11.6,16.6,5.3,20.6,12.9,12.41,14.1,0.5
231,"Kentavious Caldwell-Pope, DET",76,36.7,0.521,10.6,8.1,17.5,2.6,8.6,5.5,12.41,79.4,2.6
232,"Lavoy Allen, IND",79,20.2,0.532,13.9,12.6,12.3,11.1,17.8,14.5,12.4,21.5,0.7
233,"Thabo Sefolosha, ATL",75,23.4,0.578,18.1,11.5,11.7,3.3,17.1,10.4,12.4,49.8,1.7
