Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Mon Apr 13 2015,10:00 pm,Los Angeles Lakers,92,Sacramento Kings,102,Box Score,,
Mon Apr 13 2015,9:00 pm,Dallas Mavericks,92,Utah Jazz,109,Box Score,,
Tue Apr 14 2015,7:30 pm,Toronto Raptors,93,Boston Celtics,95,Box Score,,
Tue Apr 14 2015,8:00 pm,Washington Wizards,95,Indiana Pacers,99,Box Score,2OT,
Tue Apr 14 2015,10:30 pm,Los Angeles Clippers,112,Phoenix Suns,101,Box Score,,
Wed Apr 15 2015,8:00 pm,Orlando Magic,88,Brooklyn Nets,101,Box Score,,
Wed Apr 15 2015,8:00 pm,Atlanta Hawks,85,Chicago Bulls,91,Box Score,,
Wed Apr 15 2015,8:00 pm,Washington Wizards,108,Cleveland Cavaliers,113,Box Score,OT,
Wed Apr 15 2015,8:00 pm,Portland Trail Blazers,98,Dallas Mavericks,114,Box Score,,
Wed Apr 15 2015,10:30 pm,Denver Nuggets,126,Golden State Warriors,133,Box Score,,
Wed Apr 15 2015,8:00 pm,Utah Jazz,91,Houston Rockets,117,Box Score,,
Wed Apr 15 2015,10:30 pm,Sacramento Kings,122,Los Angeles Lakers,99,Box Score,,
Wed Apr 15 2015,9:30 pm,Indiana Pacers,83,Memphis Grizzlies,95,Box Score,,
Wed Apr 15 2015,8:00 pm,Boston Celtics,105,Milwaukee Bucks,100,Box Score,,
Wed Apr 15 2015,8:00 pm,Oklahoma City Thunder,138,Minnesota Timberwolves,113,Box Score,,
Wed Apr 15 2015,8:00 pm,San Antonio Spurs,103,New Orleans Pelicans,108,Box Score,,
Wed Apr 15 2015,8:00 pm,Detroit Pistons,112,New York Knicks,90,Box Score,,
Wed Apr 15 2015,8:00 pm,Miami Heat,105,Philadelphia 76ers,101,Box Score,,
Wed Apr 15 2015,7:00 pm,Charlotte Hornets,87,Toronto Raptors,92,Box Score,,
Sat Apr 18 2015,7:00 pm,Milwaukee Bucks,91,Chicago Bulls,103,Box Score,,
Sat Apr 18 2015,3:30 pm,New Orleans Pelicans,99,Golden State Warriors,106,Box Score,,
Sat Apr 18 2015,9:30 pm,Dallas Mavericks,108,Houston Rockets,118,Box Score,,
Sat Apr 18 2015,12:30 pm,Washington Wizards,93,Toronto Raptors,86,Box Score,OT,
Sun Apr 19 2015,5:30 pm,Brooklyn Nets,92,Atlanta Hawks,99,Box Score,,
Sun Apr 19 2015,3:00 pm,Boston Celtics,100,Cleveland Cavaliers,113,Box Score,,
Sun Apr 19 2015,10:30 pm,San Antonio Spurs,92,Los Angeles Clippers,107,Box Score,,
Sun Apr 19 2015,8:00 pm,Portland Trail Blazers,86,Memphis Grizzlies,100,Box Score,,
Mon Apr 20 2015,8:00 pm,Milwaukee Bucks,82,Chicago Bulls,91,Box Score,,
Mon Apr 20 2015,10:30 pm,New Orleans Pelicans,87,Golden State Warriors,97,Box Score,,
Tue Apr 21 2015,7:00 pm,Boston Celtics,91,Cleveland Cavaliers,99,Box Score,,
Tue Apr 21 2015,9:30 pm,Dallas Mavericks,99,Houston Rockets,111,Box Score,,
Tue Apr 21 2015,8:00 pm,Washington Wizards,117,Toronto Raptors,106,Box Score,,
Wed Apr 22 2015,7:00 pm,Brooklyn Nets,91,Atlanta Hawks,96,Box Score,,
Wed Apr 22 2015,10:30 pm,San Antonio Spurs,111,Los Angeles Clippers,107,Box Score,OT,
Wed Apr 22 2015,8:00 pm,Portland Trail Blazers,82,Memphis Grizzlies,97,Box Score,,
Thu Apr 23 2015,7:00 pm,Cleveland Cavaliers,103,Boston Celtics,95,Box Score,,
Thu Apr 23 2015,8:00 pm,Chicago Bulls,113,Milwaukee Bucks,106,Box Score,2OT,
Thu Apr 23 2015,9:30 pm,Golden State Warriors,123,New Orleans Pelicans,119,Box Score,OT,
Fri Apr 24 2015,7:00 pm,Houston Rockets,130,Dallas Mavericks,128,Box Score,,
Fri Apr 24 2015,9:30 pm,Los Angeles Clippers,73,San Antonio Spurs,100,Box Score,,
Fri Apr 24 2015,8:00 pm,Toronto Raptors,99,Washington Wizards,106,Box Score,,
Sat Apr 25 2015,3:00 pm,Atlanta Hawks,83,Brooklyn Nets,91,Box Score,,
Sat Apr 25 2015,5:30 pm,Chicago Bulls,90,Milwaukee Bucks,92,Box Score,,
Sat Apr 25 2015,8:00 pm,Golden State Warriors,109,New Orleans Pelicans,98,Box Score,,
Sat Apr 25 2015,10:30 pm,Memphis Grizzlies,115,Portland Trail Blazers,109,Box Score,,
Sun Apr 26 2015,1:00 pm,Cleveland Cavaliers,101,Boston Celtics,93,Box Score,,
Sun Apr 26 2015,9:00 pm,Houston Rockets,109,Dallas Mavericks,121,Box Score,,
Sun Apr 26 2015,3:30 pm,Los Angeles Clippers,114,San Antonio Spurs,105,Box Score,,
Sun Apr 26 2015,6:30 pm,Toronto Raptors,94,Washington Wizards,125,Box Score,,
Mon Apr 27 2015,7:00 pm,Atlanta Hawks,115,Brooklyn Nets,120,Box Score,OT,
Mon Apr 27 2015,8:00 pm,Milwaukee Bucks,94,Chicago Bulls,88,Box Score,,
Mon Apr 27 2015,10:30 pm,Memphis Grizzlies,92,Portland Trail Blazers,99,Box Score,,
Tue Apr 28 2015,8:00 pm,Dallas Mavericks,94,Houston Rockets,103,Box Score,,
Tue Apr 28 2015,10:30 pm,San Antonio Spurs,111,Los Angeles Clippers,107,Box Score,,
Wed Apr 29 2015,7:00 pm,Brooklyn Nets,97,Atlanta Hawks,107,Box Score,,
Wed Apr 29 2015,9:30 pm,Portland Trail Blazers,93,Memphis Grizzlies,99,Box Score,,
Thu Apr 30 2015,7:00 pm,Chicago Bulls,120,Milwaukee Bucks,66,Box Score,,
Thu Apr 30 2015,9:30 pm,Los Angeles Clippers,102,San Antonio Spurs,96,Box Score,,
